id,filtered_words,features,label_index
R129,"['certainly', 'nice', 'want', 'while.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[673,3370,3556,3614,4506,4687,7712,8391,9462],[4.42484663185681,3.914021008090819,2.8844015909096608,0.667530016189645,0.691153161953081,0.691153161953081,4.830311739964974,4.607168188650764,0.691153161953081])",1.0
R227,"['significant', 'month', 'base', 'election', 'learn', 'eye', 'customer.', 'also', 'practice', 'discuss', 'green', 'national', 'charge', 'total.', 'respond', 'right', 'government', 'particularly', 'health', 'manager', 'product.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[132,551,821,1341,1652,1790,2059,2259,2500,3614,3792,4270,4280,4506,4687,5741,5967,6443,6535,6714,6812,7910,8173,8552,8805,9462],[4.607168188650764,4.270695952029551,2.849310271098391,3.7316994512968646,4.137164559405029,4.42484663185681,2.6330871626287546,2.579019941358479,4.830311739964974,1.33506003237929,3.8187108282864943,4.830311739964974,4.42484663185681,0.691153161953081,0.691153161953081,4.42484663185681,4.270695952029551,3.8187108282864943,4.830311739964974,5.523458920524919,4.137164559405029,3.577548771469606,3.6516567436233283,3.914021008090819,4.270695952029551,0.691153161953081])",1.0
F231,"['difficult', 'material', 'list.', 'fill', 'weight', 'might', 'ahead', 'house.', 'professional', 'usually', 'save', 'dream', 'poor', 'teacher', 'place', 'high.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,1712,2155,2366,2990,3231,3756,3924,4520,5850,6390,7281,7936,8004,8094,8103,8268,8338,8708,8961,9727],[0.691153161953081,2.958509563063383,4.270695952029551,4.42484663185681,3.914021008090819,3.914021008090819,4.137164559405029,4.830311739964974,4.42484663185681,3.8187108282864943,0.691153161953081,4.42484663185681,0.6792718340663283,0.691153161953081,4.42484663185681,4.42484663185681,4.270695952029551,3.3262343431887,0.691153161953081,3.914021008090819,5.523458920524919,4.607168188650764])",0.0
R066,"['particular', 'cost', 'perform', 'wife', 'middle', 'identify', 'reality.', 'bag', 'light', 'officer', 'manager', 'know.', 'physical', 'move', 'cell', 'final', 'term.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[415,696,843,1098,1652,1653,1720,3021,3082,3210,3614,3967,4490,4506,4687,6282,6533,6944,8649,8984,9462,9878],[3.914021008090819,4.137164559405029,5.523458920524919,3.6516567436233283,4.137164559405029,4.270695952029551,4.607168188650764,3.7316994512968646,5.117993812416755,4.137164559405029,0.667530016189645,4.42484663185681,3.914021008090819,0.691153161953081,0.691153161953081,4.137164559405029,5.117993812416755,2.8154087194227095,3.914021008090819,4.830311739964974,0.691153161953081,4.42484663185681])",1.0
F095,"['strategy', 'trade', 'number', 'discuss', 'true.', 'cause', 'attention', 'court', 'write.', 'responsibility', 'capital', 'yeah.', 'deep', 'commercial.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[316,419,503,1208,1762,2291,3144,3184,3502,3614,4568,4613,5493,5850,6541,7281,7936,8134,8338,8519,9593],[4.270695952029551,4.019381523748645,0.691153161953081,2.7508701982851385,4.270695952029551,4.019381523748645,4.137164559405029,2.849310271098391,3.7316994512968646,0.667530016189645,4.607168188650764,5.523458920524919,4.607168188650764,0.691153161953081,4.607168188650764,0.6792718340663283,0.691153161953081,5.523458920524919,0.691153161953081,4.270695952029551,5.117993812416755])",0.0
R174,"['use', 'commercial', 'avoid', 'serious', 'history', 'but.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[1117,1388,3614,4506,4687,5133,6443,6543,6944,8927,9462],[3.914021008090819,3.914021008090819,0.667530016189645,0.691153161953081,0.691153161953081,3.914021008090819,3.8187108282864943,4.270695952029551,2.8154087194227095,4.607168188650764,0.691153161953081])",1.0
R201,"['exactly', 'science', 'quite', 'occur', 'mean', 'require', 'win.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[909,1770,1921,2096,3363,3614,4506,4687,6056,6219,6436,8449,9462],[3.8187108282864943,2.958509563063383,3.8187108282864943,3.914021008090819,4.607168188650764,0.667530016189645,0.691153161953081,0.691153161953081,4.019381523748645,3.0385522707369192,5.117993812416755,4.42484663185681,0.691153161953081])",1.0
R072,"['three', 'scene', 'whatever', 'ability.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[226,3614,4506,4687,5047,5844,5925,7695,9462],[5.117993812416755,0.667530016189645,0.691153161953081,0.691153161953081,2.661258039595451,3.8187108282864943,4.270695952029551,4.270695952029551,0.691153161953081])",1.0
R064,"['wear', 'yet', 'ability', 'member', 'participant', 'receive', 'look', 'region.', 'nice', 'policy', 'agency', 'charge', 'century', 'manage.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[613,765,2483,3370,3614,3681,4037,4142,4506,4617,4687,5396,6581,6790,6812,7066,7841,9462,9939],[4.019381523748645,4.270695952029551,5.117993812416755,3.914021008090819,0.667530016189645,4.830311739964974,4.137164559405029,3.7316994512968646,0.691153161953081,3.6516567436233283,0.691153161953081,3.914021008090819,4.830311739964974,4.42484663185681,4.137164559405029,2.8844015909096608,3.914021008090819,0.691153161953081,4.270695952029551])",1.0
F037,"['us', 'world', 'account', 'turn', 'raise.', 'serious', 'create', 'maybe', 'best.', 'go', 'economic', 'seek', 'try', 'career', 'difference.', 'ahead', 'range', 'boy', 'baby', 'industry.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[157,165,171,503,662,1117,1256,1348,1404,3886,4693,4818,4930,5850,6043,6451,6660,7281,7593,7860,7936,8268,8338,8915,9144,9187,9360],[3.8187108282864943,4.137164559405029,5.117993812416755,0.691153161953081,5.117993812416755,3.914021008090819,3.125563647726549,4.42484663185681,4.607168188650764,4.137164559405029,4.137164559405029,4.019381523748645,3.914021008090819,0.691153161953081,5.117993812416755,3.6516567436233283,4.42484663185681,0.6792718340663283,4.830311739964974,2.958509563063383,0.691153161953081,3.3262343431887,0.691153161953081,4.830311739964974,2.7508701982851385,4.607168188650764,3.914021008090819])",0.0
